Name,Comment,Time,Likes,Reply Count
Melodyferous,"JP (2:54) ""Men and women are more The Same than they are different.""
RB (3:40) ""One of the challenges that this argument appears to be built around is a sort of HIERARCHY ... Masculinity being synonymous with POWER.""
RB (7:02) ""What is The Terrible Mother?""
JP (7:04) ""Overprotection""
JP (7:34) ""This is part of The Devouring Mother archetype.""
JP (8:14) ""You see it in Disney movies all the time. In The Little Mermaid, Ursula, is the Devouring Mother. She's the Witch. She's the Swamp Dweller. She's the Evil Queen."" 
~          ~          ~
Rehashing the prevalence of Mother--bashing archetypes?
What about ""MASCULINITY?""
What about Masculine archetypes?
~ The Bully
who threatens, intimidates, beats, punches, kicks and screams his way through Life?
~ The Controlling Father 
who procreates in order to COMMAND his offspring, to control their Life Paths, who uses fear-mongering tactics to weaken them enough to do so?
~ The Family Business Dictator 
who EXPECTS his children to take over the reigns, to help support HIS retirement -- NEAR HIM?
~ The Father, Step-Father, Uncle, Grandfather, Priest/Minister, Boss
who think vaginas and other orifices were put on planet Earth FOR THE TAKING; so they do, take, even when the answer is ""No"" ???
~ The Male Kidnapper 
who locks up children in the basement, for years?
Without responsible equanimity of discussion, you're just another Male Tag Team, building another Word Wall, to bolster the MASCULINE status quo.

SAME AS IT EVER WAS.",2021-07-23T01:28:11Z,1,
Political Wonderland,4:25 YES YES YES 10000000 TIMES YES,2021-07-23T01:16:33Z,0,
Lee Fithian,"Thank You , two of my favorite minds and mouth",2021-07-23T00:54:02Z,2,
Peter Halliday,I wouldn't....but thanks for the invite 😬,2021-07-22T23:51:51Z,0,
Ham Bone,Now you see why we love Jordan Peterson,2021-07-22T21:30:28Z,0,
Nas ibars,This is epic 🎆💯,2021-07-22T21:27:55Z,0,
Daduon Daduon,"The evolution of Russell from (in my opinion) being insufferable a few years ago to this shining person  of calm wisdom is truly amazing.

One of the few people who I do not always agree with yet always has a valid opinion to consider.

Congratulations, Russell. A Good Man has been made.",2021-07-22T20:50:02Z,1,
The Doom Guy,In my opinion Jordan holds no value and never will.,2021-07-22T20:33:13Z,1,
A.S painting Contractors,Russell don’t know why but I all ways think u sit there on your own talking to your self very deeply in conversation why looking at your self in a mirror lol am I rong 😂,2021-07-22T20:10:43Z,0,
Dominus Davus,"Yo, Russel, when are you going to have Teal Swan on your podcast? That'd be cool.",2021-07-22T20:00:26Z,0,
Lee,@Russel: Kali is the quadrant. Namasté,2021-07-22T19:55:21Z,0,
Christian Carver,Talk to Camille Paglia!,2021-07-22T19:41:17Z,0,
