Name,Comment,Time,Likes,Reply Count
DarwinGabriel Palacios,Can anyone let me know what was the song in the start of the video,2020-12-07T02:25:13Z,0,0
Rashod Johnson,bro this one girl told me i know you got hoes she said as long as she is the favorite its fine.,2020-11-29T06:38:50Z,3,0
Trvde !,I’m naturally toxic and I been having a chick in my rotation for 2 years she just keep coming back after I dog her out,2020-11-28T23:12:22Z,4,0
chipo dube,I used logic on this woman and she got all up in her feelings and called me bad,2020-11-24T00:02:55Z,1,0
GinDGinnest,—___—,2020-11-11T19:36:14Z,0,0
einsiLOL,Who hurt you😔,2020-11-06T12:36:59Z,1,0
Ewan McCoubrey,So don’t give a shit or control her? I’m confused,2020-10-30T01:11:21Z,0,1
Basi Dan,Not giving a shit is controlling her,2021-03-14T11:51:18Z,0,
M Marcjp,It seems like the more I treat my ex bad the more she come back. I never understand that.,2020-10-29T18:14:15Z,1,0
Joe Mac,"Another great video player!! LMFAO @ the ""304"" comment!!!!",2020-10-26T03:25:01Z,0,0
Jdp_ 1597,"Shawty loves toxic men so they have something to post of social media, thats why i ""scare"" off some women becuz im laid back drama free and focusing on my business that help me weed out the bad ones",2020-10-16T19:55:24Z,6,0
 Subliminals 🌍🌬,304s are backwards lol shit I started laughing after I connected a few dots😥,2020-10-16T13:37:41Z,0,0
Francois Nel,"I heard that. Girl told me all she wants is good sex / multiple orgasms.  Not acted on it though, on MGTOW vibes at the moment.",2020-10-07T21:25:15Z,1,0
K. TouΣΣaint,A 304 is a hoe for those who struggling with that lol,2020-10-06T08:49:15Z,0,0
Ben Tribelli,Dang man. This is so crazily true.,2020-10-06T02:38:02Z,0,0
Anna St.,I love the red doorag❤,2020-10-02T04:54:23Z,0,0
victoria zyskowski,"Don’t know how I stumbled upon this but let me tell anyone watching this and listening to this. You will never understand a woman. Women who like toxic men have been abused by their fathers and look for validation from people who either abuse them or ignore them like their fathers. Stop feeling pity for urself because you can’t get the 10 you want and stop obsessing over these kinds of videos first of all. Be clean kind and have a good personality. You can get a clean kind and good woman then. Trust me when I say this, ur not an alpha male if you even have the word alpha male in ur vocabulary",2020-09-29T18:46:04Z,1,0
Jeeb.thatruth,Brah you only 22? Thought you was bout 26,2020-09-23T16:08:42Z,0,0
Brendan Fogel,She a simp for me but I ain’t simp for her. Bih loves me bruh😭😭😭.,2020-09-21T21:22:25Z,1,2
kawaiiwaste,thats how it should be bro,2020-11-05T17:33:18Z,1,
Book Of T,it be like that😭😭💀,2020-10-16T20:50:14Z,2,
Montgomery Travis,everything that you said in this video describes my last relationship smh. I was such a bitch and it makes me so mad,2020-09-18T01:45:49Z,1,0
Kyle Coronado,"When I was about your age Steph, I had a coworker say she just wanted me for a digging stick. Idk if that will ever happen again lol",2020-09-14T17:59:49Z,1,0
Jahmier Quayson,To all the guys watching have fun with women but be careful on which one y’all choose too start a family with,2020-09-06T22:37:43Z,2,0
Christopher Lewis,"Wellllllll....I had a woman tell me she wanted to have fun and get fuck. Then talking about, omg I can't believe I said that. I took full advantage of it. 😂😂",2020-09-01T12:29:07Z,0,0
Seb Zag,check out the story of sampson from the bible.,2020-09-01T09:00:12Z,0,0
Seb Zag,ey steph. they always been that way from the beginning. good stuff man.,2020-09-01T08:52:10Z,0,0
Cameron Jones,“To the thing that they dew”,2020-08-29T05:03:16Z,0,0
IH331,"This is amazing life saving content. I'm 40, found the red pill at 38. Wish I had this advice when I was 16 but at least I can share this with my son.Also got your Patreon.",2020-08-27T15:39:26Z,13,0
Sammi,🔥🔥,2020-08-26T20:53:26Z,0,0
Russ504,Yo steph next time you go live bro ima call in. Got some good questions bro,2020-08-23T03:16:27Z,0,0
Profonics Gaming,It’s funny getting them on camera that’s not me it’s my twin lol if I get cheated on and I stay that’s danger bitch,2020-08-22T11:42:53Z,0,0
WE NEED LAUGH,cold,2020-08-18T07:02:35Z,0,0
Marz Mindset,🤔🤔🤔,2020-08-08T13:28:51Z,0,0
Matthew Pool,Good passion bro.,2020-07-31T23:05:06Z,0,0
Tiffany Blaho,"I wanted to dislike your video because I said oh he’s saying that so harshly. But I can’t dislike it because you are correct. The man that I love with my whole heart is the man that my friends couldn’t understand why I was talking to him. They said he was ugly, he was nerdy, he was built nice but his legs are a little skinny etc etc. But none of that mattered to me because I saw the king in him. I saw that he was a good man. Not a toxic dude but a true honest good man. Just in the way he approached was different. I loved our conversations, our dates and just him in general. And I’m not content with him, I’m happy and I spend every moment trying to reciprocate that back to him. But my friends are still doing the same, and mad about it but they refuse to change. So for the ramble but I just wanted to say, you are right and I’m sharing your video with them because they need to hear it.",2020-07-28T18:54:15Z,5,3
Basethagod,@Tiffany Blaho so you want more in other words,2021-03-08T12:18:14Z,0,
Tiffany Blaho,"@Basethagod I’m confused by your question. Yes I’m happy. I said that in my comment. I’m not just content with him (like settling), I’m actually very happy with him.",2021-03-08T07:10:24Z,0,
Basethagod,so your not happy with ur nice man?,2021-03-08T05:05:26Z,0,
I ROFL'D MY LOLS OFF,Damn Stephanie you cold as hell.,2020-07-25T08:54:13Z,0,0
Team chang,I just typed “304” in my calculator and turned it upside down 😂😂😂,2020-07-24T22:54:38Z,35,2
Omariyo13,😂😂,2021-04-11T19:14:51Z,2,
Vitiko Gaming,"i remember when i was younger i believed in monogamy, i had this one girl. she turned me out, she made me drop all the girls i was talking to! took me out of my flow state. shit harmed me 5-6 years! fk!",2020-07-24T00:02:50Z,4,0
AlphaSuperior,"For, 22 years you seem very mature.",2020-07-20T17:45:20Z,2,0
Charles Rivers,"I feel like woman are like mini versions of Lilith, we definitely gta stay aware and be on point,",2020-07-19T20:46:30Z,1,1
Uncle mel,"Adams first wife, people not hip that be. Drop that knowledge man 👊",2020-12-25T06:54:45Z,0,
MLS RISE,my ngga u look 29,2020-07-19T19:08:36Z,1,0
Hip Hop Kandy Shop,Real shit 💯💯💯,2020-07-19T06:10:58Z,0,0
Jeremy Baret,Steph when you say a chick is strap what do you mean?,2020-07-18T12:37:24Z,0,0
misty peek,"This literally happened to me last week with an old friend from high school, she hit me with the “I liked you for so long”😂 like bitch no tf u didn’t",2020-07-15T15:04:36Z,9,0
Vanilla,Bruh I had a very attractive girl in my customer service class say” If I can’t control you I don’t want you” at the time It didn’t really ring any bells. But now that shit makes a lot of sense.,2020-07-15T06:09:16Z,1,0
UNTAMEDJAY,“All of a sudden” I felt that part a lil too much,2020-07-13T11:51:26Z,3,0
Derrick Davis,Teach me Sensei..I fuck with this.,2020-07-12T17:52:49Z,0,0
V L,I knew I wasn’t trippin,2020-07-09T15:03:09Z,0,0
Der Goat Highscore,What is a 304 man I‘m from Germany 😂,2020-07-09T12:15:35Z,0,0
King Baller,Turn it upside down on the calculator 😂😂😂,2020-07-08T23:41:49Z,0,0
Christmas Gach,First time I ever heard the term 304 😂,2020-07-07T19:51:43Z,0,0
Pap,Steph = GOAT 🐐,2020-07-07T17:54:07Z,0,0
dynamic,Respect Steph.,2020-07-07T10:53:09Z,0,0
Matthew Ross,He just speaks the truth,2020-07-07T03:17:02Z,0,0
TacticalBayr,"For all the idiots, 4=H, 0=O, 3=E... 304 means HOE",2020-07-06T07:41:15Z,0,0
The Bryant Watkins Channel,Da truth has been spoken 👍😊💯,2020-07-05T16:31:32Z,1,0
Nilesh Biswas,Never trust a 304 xD,2020-07-05T05:33:50Z,0,0
Bimnews246,The  mf og 👌👌👌,2020-07-05T01:16:10Z,0,0
Death rager,"so that they can make false accusations when it suits them? this doesnt only go for toxic men though, for them soft ass betas aswell. you're a conveniance.",2020-07-04T21:00:50Z,1,0
Bryan Hernandez,Thanks for the wisdom my G,2020-07-04T08:23:19Z,0,0
